area,code,year,total,0-14,15-64,65+
Central Asia,5500,2060,97965,19595,62910,15460
Central Asia,5500,2065,99058,18857,64002,16199
Central Asia,5500,2070,99881,18396,65022,16462
Central Asia,5500,2075,100470,18181,64740,17549
Central Asia,5500,2080,100835,17974,63435,19425
Central Asia,5500,2085,100973,17607,62322,21044
Central Asia,5500,2090,100883,17083,61629,22171
Central Asia,5500,2095,100555,16537,61153,22865
Central Asia,5500,2100,99984,16087,60468,23429
Kazakhstan,398,2015,17750,4753,11798,1199
Kazakhstan,398,2020,18777,5419,11941,1417
Kazakhstan,398,2025,19610,5437,12466,1707
Kazakhstan,398,2030,20301,4993,13203,2105
Kazakhstan,398,2035,20950,4745,13887,2319
Kazakhstan,398,2040,21621,4755,14327,2540
Kazakhstan,398,2045,22310,4943,14621,2746
Kazakhstan,398,2050,22959,5115,14820,3025
Kazakhstan,398,2055,23505,5119,14864,3522
Kazakhstan,398,2060,23932,4954,15151,3828
Kazakhstan,398,2065,24279,4743,15746,3791
Kazakhstan,398,2070,24595,4612,16237,3745
Kazakhstan,398,2075,24901,4591,16221,4089
Kazakhstan,398,2080,25199,4608,15854,4737
Kazakhstan,398,2085,25460,4584,15645,5231
Kazakhstan,398,2090,25651,4489,15599,5563
Kazakhstan,398,2095,25744,4350,15631,5762
Kazakhstan,398,2100,25738,4223,15603,5911
Kyrgyzstan,417,2015,5865,1824,3790,251
Kyrgyzstan,417,2020,6302,2048,3938,316
Kyrgyzstan,417,2025,6675,2101,4159,416
Kyrgyzstan,417,2030,6997,1976,4470,551
Kyrgyzstan,417,2035,7300,1897,4752,651
Kyrgyzstan,417,2040,7596,1894,4975,727
Kyrgyzstan,417,2045,7873,1934,5145,793
Kyrgyzstan,417,2050,8113,1954,5263,896
Kyrgyzstan,417,2055,8311,1922,5297,1092
Kyrgyzstan,417,2060,8470,1850,5384,1236
Kyrgyzstan,417,2065,8597,1775,5521,1300
Kyrgyzstan,417,2070,8698,1722,5668,1307
Kyrgyzstan,417,2075,8775,1692,5687,1397
Kyrgyzstan,417,2080,8833,1664,5567,1602
Kyrgyzstan,417,2085,8875,1624,5478,1773
Kyrgyzstan,417,2090,8898,1570,5431,1896
Kyrgyzstan,417,2095,8892,1513,5401,1977
Kyrgyzstan,417,2100,8852,1464,5344,2044
Tajikistan,762,2015,8549,3002,5262,284
Tajikistan,762,2020,9475,3352,5762,361
Tajikistan,762,2025,10360,3537,6336,488
Tajikistan,762,2030,11194,3542,7014,638
Tajikistan,762,2035,12023,3538,7696,789
Tajikistan,762,2040,12876,3617,8322,937
Tajikistan,762,2045,13728,3762,8876,1090
Tajikistan,762,2050,14521,3866,9348,1307
Tajikistan,762,2055,15233,3864,9748,1621
Tajikistan,762,2060,15874,3786,10188,1899
Tajikistan,762,2065,16466,3713,10620,2133
Tajikistan,762,2070,17015,3681,11043,2292
Tajikistan,762,2075,17506,3665,11303,2538
Tajikistan,762,2080,17922,3618,11418,2885
Tajikistan,762,2085,18263,3528,11501,3234
Tajikistan,762,2090,18541,3416,11586,3539
Tajikistan,762,2095,18765,3320,11651,3793
Tajikistan,762,2100,18928,3247,11644,4037
Turkmenistan,795,2015,5565,1694,3644,227
Turkmenistan,795,2020,6031,1857,3887,288
Turkmenistan,795,2025,6431,1940,4112,379
Turkmenistan,795,2030,6767,1841,4448,478
Turkmenistan,795,2035,7074,1761,4749,564
Turkmenistan,795,2040,7371,1750,4979,642
Turkmenistan,795,2045,7651,1792,5126,732
Turkmenistan,795,2050,7888,1822,5232,833
Turkmenistan,795,2055,8066,1794,5297,975
Turkmenistan,795,2060,8191,1722,5368,1101
Turkmenistan,795,2065,8281,1651,5499,1131
Turkmenistan,795,2070,8352,1611,5579,1162
Turkmenistan,795,2075,8406,1596,5597,1212
Turkmenistan,795,2080,8438,1582,5489,1367
Turkmenistan,795,2085,8445,1549,5397,1498
Turkmenistan,795,2090,8426,1499,5342,1585
Turkmenistan,795,2095,8384,1448,5306,1629
Turkmenistan,795,2100,8324,1410,5251,1663
Uzbekistan,860,2015,30976,8690,20975,1311
Uzbekistan,860,2020,33236,9270,22291,1674
Uzbekistan,860,2025,35147,9233,23675,2239
Uzbekistan,860,2030,36712,8748,25062,2903
Uzbekistan,860,2035,38059,8253,26374,3433
Uzbekistan,860,2040,39246,8015,27236,3996
Uzbekistan,860,2045,40238,7971,27652,4615
Uzbekistan,860,2050,40950,7880,27643,5427
Uzbekistan,860,2055,41358,7632,27273,6453
Uzbekistan,860,2060,41498,7283,26819,7396
Uzbekistan,860,2065,41434,6975,26616,7844
Uzbekistan,860,2070,41221,6770,26495,7956
Uzbekistan,860,2075,40882,6637,25931,8313
Uzbekistan,860,2080,40442,6502,25107,8834
Uzbekistan,860,2085,39930,6321,24300,9308
Uzbekistan,860,2090,39367,6108,23670,9588
Uzbekistan,860,2095,38771,5905,23163,9703
Uzbekistan,860,2100,38142,5743,22625,9774
Southern Asia,5501,2015,1823308,537404,1187121,98783
Southern Asia,5501,2020,1935616,533937,1282189,119490
Southern Asia,5501,2025,2040509,525503,1371178,143828
Southern Asia,5501,2030,2134449,518100,1444717,171632
Southern Asia,5501,2035,2215862,506148,1508210,201503
Southern Asia,5501,2040,2283936,492111,1558266,233560
Southern Asia,5501,2045,2339299,477605,1590760,270934
Southern Asia,5501,2050,2381797,463661,1602436,315699
Southern Asia,5501,2055,2411088,449952,1599480,361656
Southern Asia,5501,2060,2426989,435612,1588466,402911
Southern Asia,5501,2065,2430216,420896,1569271,440048
Southern Asia,5501,2070,2421904,406757,1542279,472868
Southern Asia,5501,2075,2404025,393775,1508387,501863
Southern Asia,5501,2080,2378339,381710,1474229,522400
Southern Asia,5501,2085,2346730,370178,1436434,540118
Southern Asia,5501,2090,2310787,358764,1397699,554323
Southern Asia,5501,2095,2271581,347645,1358958,564977
Southern Asia,5501,2100,2230669,337177,1321088,572404
Afghanistan,4,2015,33736,15024,17872,841
Afghanistan,4,2020,38055,15715,21318,1022
Afghanistan,4,2025,42388,16049,25107,1232
Afghanistan,4,2030,46700,16447,28765,1487
Afghanistan,4,2035,50908,16641,32457,1810
Afghanistan,4,2040,54914,16678,36005,2231
Afghanistan,4,2045,58614,16503,39313,2798
Afghanistan,4,2050,61928,16131,42300,3498
Afghanistan,4,2055,64834,15638,44908,4288
Afghanistan,4,2060,67307,15107,46920,5280
Afghanistan,4,2065,69312,14582,48145,6586
Afghanistan,4,2070,70829,14066,48661,8101
Afghanistan,4,2075,71835,13548,48614,9673
Afghanistan,4,2080,72324,13034,48362,10928
Afghanistan,4,2085,72356,12536,47748,12072
Afghanistan,4,2090,71993,12074,46874,13045
Afghanistan,4,2095,71316,11650,45767,13899
Afghanistan,4,2100,70410,11257,44494,14658
Bangladesh,50,2015,161201,47428,105651,8122
Bangladesh,50,2020,169775,45620,115322,8833
Bangladesh,50,2025,178263,44097,123460,10706
Bangladesh,50,2030,185585,42391,129224,13970
Bangladesh,50,2035,191601,40318,133299,17983
Bangladesh,50,2040,196294,38150,136091,22053
Bangladesh,50,2045,199744,36147,136589,27007
Bangladesh,50,2050,201927,34414,135086,32428
Bangladesh,50,2055,202902,32905,132289,37707
Bangladesh,50,2060,202741,31508,128564,42669
Bangladesh,50,2065,201527,30196,123895,47437
Bangladesh,50,2070,199365,28993,118697,51675
Bangladesh,50,2075,196373,27892,113800,54681
Bangladesh,50,2080,192649,26896,109014,56738
Bangladesh,50,2085,188339,25983,104271,58085
Bangladesh,50,2090,183604,25136,99779,58689
Bangladesh,50,2095,178613,24347,95675,58590
Bangladesh,50,2100,173549,23609,92024,57916
Bhutan,64,2015,787,216,535,37
Bhutan,64,2020,835,213,578,44
Bhutan,64,2025,878,207,616,55
Bhutan,64,2030,914,199,647,68
Bhutan,64,2035,943,188,668,86
Bhutan,64,2040,965,177,682,106
Bhutan,64,2045,982,169,681,133
Bhutan,64,2050,994,163,665,167
Bhutan,64,2055,1000,158,641,201
Bhutan,64,2060,999,154,617,228
Bhutan,64,2065,992,148,597,247
Bhutan,64,2070,979,142,579,257
Bhutan,64,2075,962,138,559,265
Bhutan,64,2080,942,134,539,269
Bhutan,64,2085,921,131,518,272
Bhutan,64,2090,900,128,498,273
Bhutan,64,2095,878,125,482,272
Bhutan,64,2100,858,121,468,268
India,356,2015,1309054,375145,860128,73781
India,356,2020,1383198,367657,924932,90609
India,356,2025,1451829,359642,983415,108772
India,356,2030,1512985,356183,1028780,128023
India,356,2035,1564570,348788,1067710,148072
India,356,2040,1605356,337720,1097805,169831
India,356,2045,1636496,324787,1117663,194047
India,356,2050,1658978,312859,1123448,222671
India,356,2055,1673078,302945,1118086,252047
India,356,2060,1678568,293816,1105254,279497
India,356,2065,1675744,284320,1086136,305289
India,356,2070,1665179,274448,1062031,328700
India,356,2075,1648425,264900,1035336,348189
India,356,2080,1626927,256170,1011113,359644
India,356,2085,1602017,248391,983814,369813
India,356,2090,1574797,241114,954838,378846
India,356,2095,1545959,233993,925374,386592
India,356,2100,1516597,227004,897286,392307
Iran (Islamic Republic of),364,2015,79360,18755,56610,3996
Iran (Islamic Republic of),364,2020,83587,19528,58828,5231
Iran (Islamic Republic of),364,2025,86730,18334,61557,6839
Iran (Islamic Republic of),364,2030,88863,15932,64156,8775
Iran (Islamic Republic of),364,2035,90479,14017,65545,10917
Iran (Islamic Republic of),364,2040,91899,13341,65379,13179
Iran (Islamic Republic of),364,2045,93045,13607,62883,16555
Iran (Islamic Republic of),364,2050,93553,13875,58161,21518
Iran (Islamic Republic of),364,2055,93147,13500,53686,25961
Iran (Islamic Republic of),364,2060,91802,12552,51453,27797
Iran (Islamic Republic of),364,2065,89722,11600,50640,27482
Iran (Islamic Republic of),364,2070,87177,11087,49474,26616
Iran (Islamic Republic of),364,2075,84401,11021,47008,26372
Iran (Islamic Republic of),364,2080,81606,11067,43953,26586
Iran (Islamic Republic of),364,2085,79002,10904,41558,26540
Iran (Islamic Republic of),364,2090,76667,10464,40197,26006
Iran (Islamic Republic of),364,2095,74534,9943,39504,25087
Iran (Islamic Republic of),364,2100,72462,9565,38785,24113
Maldives,462,2015,418,98,303,17
Maldives,462,2020,459,107,332,20
Maldives,462,2025,490,108,355,27
Maldives,462,2030,512,98,377,37
Maldives,462,2035,530,88,394,49
Maldives,462,2040,547,82,403,62
Maldives,462,2045,563,82,403,79
Maldives,462,2050,576,84,385,108
Maldives,462,2055,585,84,356,145
Maldives,462,2060,587,80,335,172
Maldives,462,2065,583,74,327,182
Maldives,462,2070,576,71,324,181
Maldives,462,2075,564,70,316,178
Maldives,462,2080,550,70,301,179
Maldives,462,2085,535,70,287,178
Maldives,462,2090,520,68,277,176
Maldives,462,2095,507,65,271,171
Maldives,462,2100,496,63,266,167
Nepal,524,2015,28656,9329,17758,1569
Nepal,524,2020,30260,8710,19662,1888
Nepal,524,2025,31814,8284,21408,2122
Nepal,524,2030,33168,8085,22649,2434
Nepal,524,2035,34247,7695,23736,2816
Nepal,524,2040,35068,7173,24597,3298
Nepal,524,2045,35686,6668,25144,3874
Nepal,524,2050,36107,6274,25288,4545
Nepal,524,2055,36328,5967,25005,5356
Nepal,524,2060,36321,5677,24302,6342
Nepal,524,2065,36074,5380,23130,7564
Nepal,524,2070,35591,5085,21826,8680
Nepal,524,2075,34882,4816,20640,9426
Nepal,524,2080,33976,4586,19692,9698
Nepal,524,2085,32908,4386,18676,9846
Nepal,524,2090,31732,4203,17639,9890
Nepal,524,2095,30515,4025,16674,9815
Nepal,524,2100,29318,3853,15845,9620
Pakistan,586,2015,189381,66320,114567,8494
Pakistan,586,2020,208362,71532,127354,9477
Pakistan,586,2025,226768,74280,141273,11216
Pakistan,586,2030,244248,74536,156202,13510
Pakistan,586,2035,261093,74371,170694,16028
Pakistan,586,2040,277495,74865,183922,18708
Pakistan,586,2045,293003,75853,195212,21938
Pakistan,586,2050,306940,76282,204684,25974
Pakistan,586,2055,318888,75427,212417,31044
Pakistan,586,2060,328859,73621,219292,35945
Pakistan,586,2065,337006,71670,225102,40234
Pakistan,586,2070,343516,70055,229965,43495
Pakistan,586,2075,348468,68688,232034,47747
Pakistan,586,2080,351850,67179,231708,52963
Pakistan,586,2085,353752,65356,230465,57930
Pakistan,586,2090,354297,63303,228884,62109
Pakistan,586,2095,353608,61340,226880,65388
Pakistan,586,2100,351943,59635,223997,68311
Sri Lanka,144,2015,20714,5090,13697,1926
Sri Lanka,144,2020,21084,4856,13862,2366
Sri Lanka,144,2025,21350,4503,13987,2860
Sri Lanka,144,2030,21475,4229,13918,3328
Sri Lanka,144,2035,21492,4043,13707,3743
Sri Lanka,144,2040,21398,3925,13382,4091
Sri Lanka,144,2045,21165,3789,12872,4504
Sri Lanka,144,2050,20792,3581,12421,4790
Sri Lanka,144,2055,20326,3327,12093,4906
Sri Lanka,144,2060,19805,3097,11728,4980
Sri Lanka,144,2065,19256,2928,11300,5028
Sri Lanka,144,2070,18693,2810,10723,5161
Sri Lanka,144,2075,18114,2702,10081,5331
Sri Lanka,144,2080,17514,2573,9546,5396
Sri Lanka,144,2085,16900,2420,9098,5381
Sri Lanka,144,2090,16276,2274,8712,5290
Sri Lanka,144,2095,15651,2156,8331,5163
Sri Lanka,144,2100,15036,2070,7922,5043
South-Eastern Asia,920,2015,634610,169597,427451,37562
South-Eastern Asia,920,2020,669016,170336,452552,46128
South-Eastern Asia,920,2025,700417,169952,472378,58086
South-Eastern Asia,920,2030,727991,167041,489461,71489
South-Eastern Asia,920,2035,751433,163883,502033,85517
South-Eastern Asia,920,2040,770770,160713,510998,99058
South-Eastern Asia,920,2045,786163,157912,516976,111275
South-Eastern Asia,920,2050,797649,155233,518696,123719
South-Eastern Asia,920,2055,805462,152222,518487,134753
South-Eastern Asia,920,2060,809854,148723,515243,145888
South-Eastern Asia,920,2065,811277,144937,512058,154282
South-Eastern Asia,920,2070,810210,141235,507514,161461
South-Eastern Asia,920,2075,807055,137837,501329,167889
South-Eastern Asia,920,2080,802124,134718,492751,174654
South-Eastern Asia,920,2085,795760,131693,483889,180178
South-Eastern Asia,920,2090,788356,128625,474841,184889
South-Eastern Asia,920,2095,780189,125514,465962,188712
South-Eastern Asia,920,2100,771528,122470,457119,191939
Brunei Darussalam,96,2015,418,99,302,17
Brunei Darussalam,96,2020,445,98,322,25
Brunei Darussalam,96,2025,469,98,334,37
Brunei Darussalam,96,2030,490,95,344,50
Brunei Darussalam,96,2035,507,92,348,67
Brunei Darussalam,96,2040,520,88,348,84
Brunei Darussalam,96,2045,530,86,343,101
Brunei Darussalam,96,2050,537,84,335,117
Brunei Darussalam,96,2055,540,83,326,131
Brunei Darussalam,96,2060,540,82,319,138
Brunei Darussalam,96,2065,536,79,312,145
Brunei Darussalam,96,2070,531,77,306,148
Brunei Darussalam,96,2075,524,75,301,148
Brunei Darussalam,96,2080,517,74,293,150
Brunei Darussalam,96,2085,509,73,285,151
Brunei Darussalam,96,2090,502,72,278,152
Brunei Darussalam,96,2095,494,70,271,153
Brunei Darussalam,96,2100,487,68,266,152
Cambodia,116,2015,15518,4904,9975,639
Cambodia,116,2020,16716,5171,10733,811
Cambodia,116,2025,17809,5222,11600,987
Cambodia,116,2030,18798,5121,12413,1264
Cambodia,116,2035,19724,4988,13201,1535
Cambodia,116,2040,20592,4919,13879,1795
Cambodia,116,2045,21370,4879,14644,1847
Cambodia,116,2050,22019,4794,14542,2683
Cambodia,116,2055,22541,4646,14819,3076
Cambodia,116,2060,22942,4474,14806,3662
Cambodia,116,2065,23230,4323,14826,4081
Cambodia,116,2070,23401,4200,14875,4326
Cambodia,116,2075,23458,4086,14740,4633
Cambodia,116,2080,23424,3964,14483,4977
Cambodia,116,2085,23323,3833,14176,5314
Cambodia,116,2090,23179,3706,13889,5585
Cambodia,116,2095,22990,3592,13606,5792
Cambodia,116,2100,22753,3491,13291,5971
Indonesia,360,2015,258162,71921,173088,13154
Indonesia,360,2020,272223,71832,184697,15694
Indonesia,360,2025,284751,71190,193818,19743
Indonesia,360,2030,295595,69246,201901,24449
Indonesia,360,2035,304759,67767,207348,29643
Indonesia,360,2040,312134,66629,210715,34790
Indonesia,360,2045,317732,65480,212690,39562
Indonesia,360,2050,321551,64035,213302,44213
Indonesia,360,2055,323791,62288,213638,47865
Indonesia,360,2060,324706,60474,213177,51055
Indonesia,360,2065,324575,58785,211773,54017
Indonesia,360,2070,323653,57325,208895,57432
Indonesia,360,2075,322034,55977,205543,60515
Indonesia,360,2080,319781,54640,201072,64070
Indonesia,360,2085,316962,53245,196924,66793
Indonesia,360,2090,313661,51858,192965,68838
Indonesia,360,2095,309965,50545,189006,70414
Indonesia,360,2100,306026,49346,184888,71792
Lao People's Democratic Republic,418,2015,6664,2247,4158,259
Lao People's Democratic Republic,418,2020,7165,2275,4584,306
Lao People's Democratic Republic,418,2025,7630,2247,5016,367
Lao People's Democratic Republic,418,2030,8049,2188,5413,447
Lao People's Democratic Republic,418,2035,8416,2108,5766,543
Lao People's Democratic Republic,418,2040,8728,2021,6047,660
Lao People's Democratic Republic,418,2045,8978,1934,6246,799
Lao People's Democratic Republic,418,2050,9163,1846,6344,973
Lao People's Democratic Republic,418,2055,9283,1758,6343,1183
Lao People's Democratic Republic,418,2060,9340,1672,6256,1411
Lao People's Democratic Republic,418,2065,9335,1593,6147,1595
Lao People's Democratic Republic,418,2070,9273,1522,6017,1735
Lao People's Democratic Republic,418,2075,9162,1457,5832,1873
Lao People's Democratic Republic,418,2080,9011,1397,5623,1991
Lao People's Democratic Republic,418,2085,8831,1339,5401,2091
Lao People's Democratic Republic,418,2090,8633,1286,5182,2165
Lao People's Democratic Republic,418,2095,8421,1236,4971,2213
Lao People's Democratic Republic,418,2100,8200,1191,4770,2239
Malaysia,458,2015,30723,7670,21252,1801
Malaysia,458,2020,32869,7759,22812,2298
Malaysia,458,2025,34950,8026,24027,2897
Malaysia,458,2030,36815,8120,25142,3553
Malaysia,458,2035,38381,7925,26242,4214
Malaysia,458,2040,39668,7550,27201,4917
Malaysia,458,2045,40761,7219,27862,5680
Malaysia,458,2050,41729,7073,27860,6797
Malaysia,458,2055,42560,7074,27334,8153
Malaysia,458,2060,43194,7085,26666,9444
Malaysia,458,2065,43581,6991,26207,10383
Malaysia,458,2070,43698,6793,25992,10912
Malaysia,458,2075,43581,6573,25844,11163
Malaysia,458,2080,43308,6416,25523,11369
Malaysia,458,2085,42959,6341,24986,11632
Malaysia,458,2090,42586,6299,24340,11947
Malaysia,458,2095,42204,6228,23752,12223
Malaysia,458,2100,41799,6106,23309,12385
Myanmar,104,2015,52404,14609,35008,2787
Myanmar,104,2020,54808,13834,37449,3525
Myanmar,104,2025,57001,13424,39269,4309
Myanmar,104,2030,58916,13338,40495,5082
Myanmar,104,2035,60431,13193,41339,5899
Myanmar,104,2040,61489,12875,41908,6706
Myanmar,104,2045,62105,12391,42241,7472
Myanmar,104,2050,62359,11880,42332,8147
Myanmar,104,2055,62334,11457,42161,8716
Myanmar,104,2060,62077,11156,41612,9309
Myanmar,104,2065,61609,10913,40698,9998
Myanmar,104,2070,60928,10646,39471,10811
Myanmar,104,2075,60060,10337,38491,11232
Myanmar,104,2080,59041,10015,37721,11305
Myanmar,104,2085,57937,9729,36893,11315
Myanmar,104,2090,56825,9494,35964,11366
Myanmar,104,2095,55755,9295,34974,11486
Myanmar,104,2100,54743,9098,34021,11623
Philippines,608,2015,101716,32782,64284,4650
Philippines,608,2020,109703,34004,70026,5673
Philippines,608,2025,117665,35060,75621,6983
Philippines,608,2030,125372,35769,81161,8442
Philippines,608,2035,132668,36172,86465,10031
Philippines,608,2040,139448,36333,91553,11562
Philippines,608,2045,145665,36304,96172,13189
Philippines,608,2050,151293,36113,100325,14856
Philippines,608,2055,156342,35774,103718,16851
Philippines,608,2060,160723,35255,106093,19375
Philippines,608,2065,164427,34589,107973,21865
Philippines,608,2070,167443,33832,109503,24108
Philippines,608,2075,169786,33063,110411,26313
Philippines,608,2080,171478,32282,110656,28540
Philippines,608,2085,172583,31496,110334,30753
Philippines,608,2090,173188,30704,109579,32905
Philippines,608,2095,173337,29913,108462,34962
Philippines,608,2100,173060,29133,107035,36891
Singapore,702,2015,5535,858,4030,647
Singapore,702,2020,5935,848,4195,893
Singapore,702,2025,6157,823,4152,1182
Singapore,702,2030,6342,806,4062,1475
Singapore,702,2035,6480,790,3968,1722
Singapore,702,2040,6563,771,3845,1947
Singapore,702,2045,6592,745,3736,2110
Singapore,702,2050,6575,722,3644,2208
Singapore,702,2055,6517,704,3563,2250
Singapore,702,2060,6432,691,3439,2303
Singapore,702,2065,6329,679,3319,2332
Singapore,702,2070,6215,665,3217,2332
Singapore,702,2075,6092,648,3130,2313
Singapore,702,2080,5965,630,3045,2290
Singapore,702,2085,5836,612,2960,2264
Singapore,702,2090,5704,596,2872,2236
Singapore,702,2095,5567,581,2779,2208
Singapore,702,2100,5432,565,2686,2181
Thailand,764,2015,68658,12353,49051,7253
